Item,ApproxWeight,Unit,CountryofOrigin
i_am_a_bunny_hardcover_book,3.2,oz,USA
laugh_out_loud_jokes_for_kids_paperback_book,2.9,oz,USA
scotch_bubble_mailer,1.6,oz,USA
up_and_up_glucose_tablets,11.2,oz,USA
dasani_water_bottle,16.9,oz,USA
rawlings_recreational_use_baseball,6,oz,China
folgers_classic_roast_coffee,11.3,oz,USA
elmerss_glue_all,4,oz,USA
hanes_tube_socks,16,oz,USA
womens_knit_gloves,2,oz,China
cherokee_easy_tee_t_shirt,1,oz,Vietnam
peva_shower_custain_liner,11.8,oz,China
cloud_b_plush_bear,3.2,oz,China
boots_and_barkley_beefhide_bones,4,oz,USA
plush_puppies_squeakin_eggs,3.2,oz,China
cool_shot_mini_glue_sticks,2.4,oz,USA
creativity_street_chenille_stems___100_count,4,oz,China
40w_soft_white_lightbulb,3,oz,China
safety_1st_ultra_clear_outlet_plugs,.3,oz,China
oral_b_cavity_defense_toothbrush,.5,oz,USA
dr_browns_natural_flow_bottle_brush,4.2,oz,China
command_hooks,1.6,oz,Mexico/USA
easter_turtle_figural_sippy_cup,12,oz,China
fiskars_scissors_5"_blunt_tip___red,1.4,oz,China
scotch_cloth_duct_tape,2,oz,Canada
woods_6ft_extension_cord,6.4,oz,Philippines
platinum_pets_dog_bowl,1.6,oz,USA
fitness_gear_3lb_neoprene_dumbbell,3,lbs,China
rolodex_wire_mesh_jumbo_pencil_holder,3.2,oz,China
clorox_utility_brush,7,oz,China
kleenex_viva_paper_towels,12.8,oz,USA
expo_white_board_care_eraser,.3,oz,USA
kleenex_cool_touch_tissue_box,10,oz,USA
ticonderoga_number2_pencils___12_count,2.1,oz,China
crayola_crayons,8,oz,USA
jane_eyre_dvd,5.12,oz,USA
dove_dry_oil_beauty_bar,4,oz,USA
staples_3x5_ruled_index_cards,3,oz,USA
